16748,T
53848,T
35864,T
24352,T
4620,T
49944,T
21820,T
81312,T
36256,T
25128,T
43752,T
1588,T
6756,T
15496,T
58796,T
48400,T
49068,T
17640,T
48988,T
60372,T
15056,T
924,T
13700,T
27988,T
23252,T
24820,T
5236,T
58132,T
49400,T
32456,T
-3264,T
13088,T
-32072,T
47520,T
31380,T
10972,T
10952,T
18008,T
41412,T
22696,T
34804,T
-14200,T
25444,T
30572,T
48324,T
19224,T
9372,T
4920,T
40000,T
-17304,T
50996,T
23968,T
17448,T
-5556,T
-15448,T
44376,T
46180,T
3556,T
61064,T
11568,T
-680,T
39148,T
6052,T
17420,T
38336,T
70472,T
44404,T
-20456,T
32004,T
62600,T
3560,T
42336,T
-1200,T
14956,T
-3276,T
23908,T
-15836,T
4748,T
21472,T
-3332,T
34468,T
52368,T
11272,T
55976,T
34716,T
45800,T
-22664,T
14804,T
55680,T
16912,T
47568,T
18876,T
-53248,T
-18832,T
-8672,T
6760,T
44176,T
55692,T
45160,T
54052,T
12732,T
44112,T
38676,T
1392,T
-540,T
59300,T
2372,T
10652,T
11412,T
26312,T
32932,T
41248,T
57804,T
19224,T
39416,T
91068,T
44612,T
15336,T
15084,T
28372,T
38912,T
8368,T
33812,T
-8364,T
50496,T
-1404,T
64344,T
22560,T
356,T
25224,T
-7136,T
33424,T
37964,T
29000,T
17548,T
7308,T
16380,T
-10748,T
16872,T
48168,T
25620,T
33788,T
-25736,T
20808,T
25224,T
28196,T
40952,T
10140,T
23384,T
16852,T
36744,T
1992,T
12084,T
44932,T
43260,T
29628,T
-2764,T
6124,T
34436,T
-4788,T
61160,T
24316,T
8740,T
48732,T
22480,T
54176,T
28052,T
8660,T
-18412,T
27980,T
59980,T
42384,T
69208,T
-26648,T
17992,T
53276,T
34652,T
51424,T
34432,T
38184,T
-2652,T
1500,T
37580,T
71508,T
26708,T
32476,T
28000,T
54600,T
52960,T
30772,T
28444,T
-12208,T
160,T
-2684,T
-5444,T
59908,T
37040,T
25944,T
17180,T
23120,T
-18776,F
-2628,F
-19668,F
49972,F
6272,F
6440,F
23140,F
42424,F
7512,F
20056,F
48816,F
-12368,F
26952,F
-368,F
-15084,F
-15504,F
-2864,F
-16272,F
16336,F
-36924,F
-29588,F
19796,F
1272,F
-2828,F
-33772,F
15076,F
-35212,F
4168,F
9140,F
-14372,F
7084,F
9052,F
11028,F
18720,F
-2612,F
23492,F
26196,F
-36180,F
-13832,F
19416,F
23992,F
30440,F
-22980,F
22544,F
-11004,F
7804,F
19260,F
-7932,F
-10640,F
-16976,F
18572,F
-3192,F
31256,F
-4332,F
-8904,F
-3252,F
10888,F
5460,F
6760,F
27292,F
-23816,F
-27956,F
13960,F
-6724,F
-16476,F
-23848,F
-5656,F
-10316,F
43776,F
-26824,F
-33580,F
-41256,F
30832,F
-15944,F
-25540,F
-4184,F
-19604,F
-2152,F
4732,F
-57820,F
22932,F
976,F
-27932,F
-4056,F
-10972,F
-5560,F
8252,F
-31564,F
26920,F
26524,F
20188,F
15792,F
-5076,F
8716,F
8988,F
-12964,F
6424,F
-19104,F
24776,F
12292,F
-40380,F
4916,F
-14456,F
4400,F
-14144,F
-34488,F
-28148,F
-43092,F
19120,F
1864,F
63756,F
-3756,F
-19564,F
-21408,F
-5516,F
13000,F
12712,F
19352,F
29040,F
-10668,F
-384,F
-22928,F
42596,F
-13600,F
-31824,F
-21128,F
-18416,F
-2848,F
-9620,F
16520,F
29780,F
19176,F
25744,F
-42344,F
-14192,F
744,F
-29140,F
9676,F
-4736,F
35124,F
58876,F
-14860,F
928,F
-3368,F
-81392,F
13556,F
-25208,F
3324,F
-27564,F
2148,F
2876,F
-6664,F
-26208,F
-20528,F
-28252,F
-24356,F
31160,F
-25612,F
24948,F
44928,F
54872,F
-27620,F
-25620,F
-8848,F
18980,F
-47312,F
14236,F
8156,F
-3004,F
36132,F
11692,F
7880,F
40376,F
12220,F
-33756,F
49716,F
19720,F
-30948,F
-31268,F
6872,F
19024,F
43640,F
-25592,F
-51212,F
36680,F
-11924,F
-28488,F
7440,F
36516,F
-30912,F
-18248,F
996,F
-3440,F
16280,F
-21596,F
34412,F
35964,F
13884,F
25772,F
-53852,F
